geneID,geneID,hamming
Mpz,Mpz,2.75
Tax1bp3,Tax1bp3,4.0
Trnp1,Trnp1,0.7884615384615384
Cyp2a5,Cyp2a5,2.3333333333333335
Id3,Id3,0.9375
Ifi27l2a,Ifi27l2a,1.45
Serpinf1,Serpinf1,4.0
Obp1a,Obp1a,4.0
Dock3,Dock3,0.39215686274509803
Agt,Agt,0.75
Fibin,Fibin,3.2857142857142856
Yap1,Yap1,4.0
Th,Th,1.0277777777777777
Rab37,Rab37,2.3333333333333335
Aebp1,Aebp1,2.75
Col12a1,Col12a1,4.0
Slc1a5,Slc1a5,5.0
Serpina3n,Serpina3n,0.9230769230769231
Ifitm3,Ifitm3,2.3333333333333335
Lpar1,Lpar1,2.75
Dcn,Dcn,3.2857142857142856
Gm14744,Gm14744,2.75
Bpifb3,Bpifb3,4.0
Unc13c,Unc13c,2.75
B2m,B2m,1.4375
Marcks,Marcks,0.3736842105263158
Nnat,Nnat,0.32608695652173914
Clca1,Clca1,3.2857142857142856
Vmo1,Vmo1,2.75
2900060B14Rik,2900060B14Rik,0.8666666666666667
Map1a,Map1a,0.7352941176470589
Ptgds,Ptgds,0.9523809523809523
Oasl2,Oasl2,3.2857142857142856
Itm2b,Itm2b,0.6916666666666667
5430402E10Rik,5430402E10Rik,2.75
Smtnl2,Smtnl2,2.3333333333333335
Neurod2,Neurod2,3.2857142857142856
Txnip,Txnip,3.2857142857142856
Tnfrsf19,Tnfrsf19,3.2857142857142856
Heyl,Heyl,5.0
Trh,Trh,2.75
Tspan15,Tspan15,2.3333333333333335
Myh11,Myh11,2.75
Hmgcs2,Hmgcs2,2.0
Tpt1,Tpt1,0.5875
Camk4,Camk4,2.0357142857142856
Ctxn3,Ctxn3,2.75
Vtn,Vtn,0.7333333333333333
Cav1,Cav1,4.0
Ahcyl2,Ahcyl2,1.2333333333333334
