geneID,geneID,hamming
Ncdn,Ncdn,0.1590909090909091
Igfbp2,Igfbp2,0.4101123595505618
Sash1,Sash1,0.6029411764705882
Penk,Penk,0.21621621621621623
Apc,Apc,0.43333333333333335
Trnp1,Trnp1,0.18421052631578946
Ptn,Ptn,0.3333333333333333
Slc17a7,Slc17a7,0.03571428571428571
S100a5,S100a5,0.42857142857142855
Arhgap33,Arhgap33,0.7096774193548387
Mcf2l,Mcf2l,0.27380952380952384
Slc6a11,Slc6a11,0.3037974683544304
Gng13,Gng13,0.49444444444444446
Nrgn,Nrgn,0.3175182481751825
Rbfox3,Rbfox3,0.24431818181818182
Mbp,Mbp,0.25
Nrsn1,Nrsn1,0.3953488372093023
Aqp4,Aqp4,0.2469879518072289
Sorbs1,Sorbs1,0.15
Gabra1,Gabra1,0.22
Baiap2,Baiap2,0.20987654320987653
Nr2f2,Nr2f2,0.2037037037037037
Doc2g,Doc2g,0.028169014084507043
Trak2,Trak2,0.5806451612903226
Cck,Cck,0.052941176470588235
Kctd12,Kctd12,0.1
Tubb2b,Tubb2b,0.68
Pcp4,Pcp4,0.04819277108433735
Rab3b,Rab3b,0.35148514851485146
Lpar1,Lpar1,0.1326530612244898
Omp,Omp,0.4878048780487805
Cdhr1,Cdhr1,0.13953488372093023
Ccnd1,Ccnd1,0.45161290322580644
Atp1b1,Atp1b1,0.1853932584269663
Necab2,Necab2,0.22950819672131148
Marcks,Marcks,0.35537190082644626
Apod,Apod,0.14285714285714285
Kcnh3,Kcnh3,0.1987179487179487
Pmepa1,Pmepa1,0.10784313725490197
Kif5b,Kif5b,0.3026315789473684
Cpe,Cpe,0.14444444444444443
Apoe,Apoe,0.10674157303370786
Igf1,Igf1,0.4888888888888889
Scd1,Scd1,0.09183673469387756
Camk2b,Camk2b,0.17857142857142858
Sparcl1,Sparcl1,0.05421686746987952
Sepp1,Sepp1,0.1404494382022472
Fabp7,Fabp7,0.07738095238095238
Gpsm1,Gpsm1,0.06547619047619048
Vtn,Vtn,0.4260869565217391
Glul,Glul,0.07303370786516854
Frzb,Frzb,0.25
Igfbp5,Igfbp5,0.11702127659574468
