geneID,geneID,hamming
Mef2c,Mef2c,0.2662337662337662
Eef1g,Eef1g,0.4444444444444444
Btbd3,Btbd3,0.27906976744186046
Gnb5,Gnb5,0.3055555555555556
Trnp1,Trnp1,0.36428571428571427
Ank2,Ank2,0.5645161290322581
Pla2g7,Pla2g7,0.3048780487804878
Mxi1,Mxi1,0.3625
Ptprd,Ptprd,0.23255813953488372
Fasn,Fasn,0.5138888888888888
Slc38a3,Slc38a3,0.28169014084507044
Cntnap2,Cntnap2,0.6730769230769231
Nrip3,Nrip3,0.2692307692307692
Tubb3,Tubb3,0.26136363636363635
Grin2b,Grin2b,0.4146341463414634
Slc6a11,Slc6a11,0.3430232558139535
Chn1,Chn1,0.553030303030303
Fam126b,Fam126b,0.5597014925373134
Bzrap1,Bzrap1,0.2565789473684211
Ptprz1,Ptprz1,0.21764705882352942
Gpr56,Gpr56,0.29896907216494845
Elmo1,Elmo1,0.46296296296296297
Psat1,Psat1,0.4032258064516129
Fbxl16,Fbxl16,0.2597402597402597
Dmwd,Dmwd,0.4576271186440678
Gpr37l1,Gpr37l1,0.2802197802197802
Fam126a,Fam126a,0.6190476190476191
Atp1a1,Atp1a1,0.5098039215686274
Tjp1,Tjp1,0.38333333333333336
Agap1,Agap1,0.5277777777777778
Eps15,Eps15,0.2653061224489796
Ednrb,Ednrb,0.46875
Pisd-ps1,Pisd-ps1,0.24666666666666667
Gstm1,Gstm1,0.14772727272727273
Gabrb3,Gabrb3,0.6875
Ppp1r9a,Ppp1r9a,0.42567567567567566
Dio2,Dio2,0.4883720930232558
Metrn,Metrn,0.3352941176470588
Ryr2,Ryr2,0.5833333333333334
Ablim3,Ablim3,0.16071428571428573
Trak2,Trak2,0.30128205128205127
Map4,Map4,0.6509433962264151
Gng3,Gng3,0.3953488372093023
Elavl3,Elavl3,0.379746835443038
Rock1,Rock1,0.5
Gabrg2,Gabrg2,0.37333333333333335
Dbn1,Dbn1,0.3698630136986301
Sorbs2,Sorbs2,0.3258426966292135
Limd2,Limd2,0.3173076923076923
Zfp385b,Zfp385b,0.3355263157894737
Fscn1,Fscn1,0.19166666666666668
Prdx1,Prdx1,0.5853658536585366
Clip4,Clip4,0.30985915492957744
Gm20594,Gm20594,0.3
Cldn11,Cldn11,0.39444444444444443
Bai2,Bai2,0.2916666666666667
Gria1,Gria1,0.6481481481481481
Sept3,Sept3,0.39552238805970147
Rcan2,Rcan2,0.40476190476190477
Iqsec3,Iqsec3,0.2823529411764706
Atp1a3,Atp1a3,0.574468085106383
Gucy1a2,Gucy1a2,0.3390804597701149
Rcn2,Rcn2,0.10919540229885058
Hlf,Hlf,0.32608695652173914
Fam213a,Fam213a,0.21052631578947367
Sp9,Sp9,0.19298245614035087
Fam63b,Fam63b,0.5642857142857143
Rasl11b,Rasl11b,0.1588235294117647
Sncb,Sncb,0.41333333333333333
Dzank1,Dzank1,0.6413043478260869
Pcdh7,Pcdh7,0.6186440677966102
Lix1,Lix1,0.1875
Htra1,Htra1,0.32142857142857145
Fndc5,Fndc5,0.3732394366197183
Marcksl1,Marcksl1,0.5240963855421686
Ampd2,Ampd2,0.5875
Junb,Junb,0.1640625
