,BIC,FSV,LLR,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,PER_prob,SE_prob,linear_prob,pval,qval,max_ll_null
0,649.5860964111318,0.10938166858300244,,4,CD68,15.287683492627968,9.728031392786153,-313.71837967152885,-3.2386932504258636,1.0436194659972415,PER,254,0.001278341377062697,0.11926466659231967,0.0009999275207519531,0.601888866133824,0.3981111328923442,9.738278712077389e-10,0.00036879085111662935,0.03918251649322745,-326.6090855847267
1,694.0448500545249,0.11822577770035195,,4,C1R,15.287683492627968,8.910931325595053,-335.94775649322537,-3.4062271830096083,1.26482250334446,PER,254,0.0016138908253349987,0.1332541785860805,0.0009999275207519531,0.7650127749139157,0.23498722505009734,3.596179067807203e-11,0.00017614729008252894,0.023538362619069487,-350.6077610371242
2,677.1684957727136,0.11088117523243904,,4,RPN2,15.287683492627968,9.580316627378322,-327.50957935231975,-9.066636418550843,7.845682306519835,PER,254,0.0010471661398359722,0.09561248226641378,0.0009999275207519531,0.9117600215692357,0.08823997840987932,2.087153866017174e-11,7.660506801554501e-05,0.01353622692302619,-344.3175235721565
3,650.7453231778204,0.10367486909657884,,4,RPS9,15.287683492627968,10.329277740615828,-314.29799305487313,-3.977876508699181,1.452209328987463,PER,254,0.0010302009095092997,0.10469866869867242,0.0010001659393310547,0.9744632796446984,0.025536720281596124,7.365727257505407e-11,0.000385409666698866,0.03996544079800561,-328.7205118139807
4,680.1499985769035,0.10692307022507827,,4,TIMP3,15.287683492627968,9.979190829292877,-329.0003307544147,-4.033396388417647,1.5508192760150685,PER,254,0.0013428450537827914,0.12989642906587764,0.0009999275207519531,0.8120671909810838,0.18793280768412368,1.3347538694564313e-09,0.0004905950178646368,0.04594632127077261,-341.8831579817405
5,767.2705491189538,0.13032814181892366,,4,CST4,15.287683492627968,7.97251034239729,-372.5606060254398,-6.10110762893573,4.346874237167846,PER,254,0.0010482429053470569,0.07452356950180006,0.002000093460083008,0.5339185512611315,0.4660814487389093,7.01973074952577e-16,2.928866565943267e-06,0.0011165873066987242,-394.4911500027585
6,695.5030431610353,0.1336818179838961,,4,APOD,25.753309968189143,8.173573352035348,-336.6768530464806,-2.9744559676999396,1.0952652568286847,PER,254,0.0029615872382829883,0.20263518473478967,0.0,0.6845045725784501,0.3151584269307355,0.000337000490761693,0.0004454838304028818,0.043416251200617706,-349.3957210531848
7,385.72457322974634,0.17194876536281267,,4,FAM174A,25.753309968189143,6.073863468573376,-181.7876180808361,-2.8325101540464614,1.252949280626242,PER,254,0.007906488586462217,0.3764848938618295,0.0019998550415039062,0.5856733478569858,0.4143258905967257,7.615462799602703e-07,0.0005326521852559997,0.04800074033577414,-193.95840879488307
8,548.5099198802052,0.16107688684299307,,4,LTBP2,25.753309968189143,6.568947797915463,-263.1802914060655,-3.051110064689166,1.3714092795859594,PER,254,0.005853038917893333,0.3052122858147886,0.0009999275207519531,0.9314063619839256,0.06428611099786447,0.00430752701817437,0.0003843222823660674,0.03996544079800561,-277.12388247707815
9,486.075013830838,0.3824770352819474,,4,FCGR3A,25.753309968189143,2.036360324304487,-231.9628383813819,-2.3340831195670155,2.6087185402066373,PER,254,0.009382563511499973,0.19227897912385264,0.0009999275207519531,0.8264780540654761,0.173521945934415,1.0262499673117492e-13,2.6831277810668297e-06,0.001053900069642068,-254.7740543995766
10,446.9565300628733,0.16752252539697868,,4,ADAM12,25.753309968189143,6.267670513735631,-212.40359649739958,-2.1373163185338,0.7176297559836333,PER,254,0.005651493874115738,0.27896915453814564,0.0,0.6578542871396452,0.34213689982180523,8.813038564130174e-06,8.838571843927667e-05,0.015074416873814531,-228.10036936874698
11,702.3398177474651,0.12512910821913015,,4,AEBP1,25.753309968189143,8.818454854928158,-340.09524033969547,-3.711518546372361,1.5344675836480957,PER,254,0.002935894251781997,0.2220736422327587,0.0,0.9607243138332738,0.03765039821240595,0.0016252879543084634,0.0003672809864200266,0.03918251649322745,-354.40661852987694
12,586.9154661882056,0.19248656837783956,,4,PRRX1,25.753309968189143,5.291224676203194,-282.38306456006575,-3.6371790927278136,2.393038875733117,PER,254,0.0058472695416779,0.2394029603939518,0.0009999275207519531,0.7898374978576022,0.21015401977644432,8.482365992933062e-06,6.764129273162389e-05,0.012706759947642155,-298.9207682157037
13,737.9137123294493,0.1372396278242602,,4,MMP14,25.753309968189143,7.9289838935829975,-357.88218763068755,-4.398359689266361,2.3675862462304704,PER,254,0.002997326089689,0.19717663601884192,0.0010001659393310547,0.9627169984932248,0.03725587109101632,2.713041576509318e-05,0.0001422659562236861,0.0202643002700156,-373.98006384333877
14,612.6226176463674,0.17589848828214638,,4,COL5A2,25.753309968189143,5.9091563614467955,-295.23664028914664,-4.655469133239115,3.4679731745829594,PER,254,0.0031891978486351612,0.14722255544088053,0.0010001659393310547,0.8764078138393072,0.12359217791065612,8.25008672105777e-09,7.521830838297383e-06,0.002128701811452464,-316.27178004435126
15,678.563408786293,0.24270792968412555,,4,FXYD3,25.753309968189143,3.9353768067736032,-328.20703585910945,-6.269644617285855,9.339468428128473,PER,254,0.005799558288130136,0.178885706793765,0.0,0.9486646040368685,0.05133538896050796,7.002593109345026e-09,2.3695674069568184e-06,0.0009907849267411061,-351.9347401169593
16,600.0314748647697,0.14392035735119973,,4,MALAT1,25.753309968189143,7.50237588181732,-288.9410688983478,-5.3378827419897235,3.5720477776107935,PER,254,0.002980310240384742,0.1827488882362788,0.0009999275207519531,0.9939464598426939,0.006053539138857868,1.0184716262155543e-09,0.0004218831507915022,0.04262824686141187,-303.92428193039063
17,559.5258652148193,0.1579319633760016,,4,ACSL1,25.753309968189143,6.724872060045276,-268.6882640733726,-4.521594392355622,2.8670248792646604,PER,254,0.003558239562831488,0.19079563308329073,0.0009999275207519531,0.9830140404254225,0.016985933686484454,2.588806830376829e-08,0.00024136913961114723,0.02923950268822141,-284.1954437033503
