geneID,geneID,hamming
FN1,FN1,0.20652173913043478
COL3A1,COL3A1,0.15
COL12A1,COL12A1,0.25
IGLL5,IGLL5,1.0217391304347827
ACTN4,ACTN4,0.46296296296296297
SPARC,SPARC,0.18571428571428572
COL1A2,COL1A2,0.17391304347826086
RPS5,RPS5,0.6160714285714286
RPS18,RPS18,0.2469879518072289
RPL10A,RPL10A,0.41911764705882354
RPL13,RPL13,0.21666666666666667
PRSS23,PRSS23,0.1953125
B2M,B2M,0.2222222222222222
AP2S1,AP2S1,2.15625
GAPDH,GAPDH,0.36875
C1QA,C1QA,1.4411764705882353
RPL8,RPL8,0.3116883116883117
RPL28,RPL28,0.4236111111111111
COL1A1,COL1A1,0.21739130434782608
GSS,GSS,0.8541666666666666
ROMO1,ROMO1,0.6956521739130435
UBA52,UBA52,0.3
LUM,LUM,0.15
MUC1,MUC1,1.0166666666666666
KRT18,KRT18,0.7435897435897436
POSTN,POSTN,0.21764705882352942
SULF1,SULF1,0.5652173913043478
PRSS8,PRSS8,0.9347826086956522
PLD3,PLD3,1.0465116279069768
RPS14,RPS14,0.3048780487804878
RPL36,RPL36,0.45918367346938777
RPL29,RPL29,0.9512195121951219
PPP1R1B,PPP1R1B,0.5777777777777777
CTSD,CTSD,0.39880952380952384
IGFBP5,IGFBP5,1.125
RPS3,RPS3,1.2884615384615385
DSE,DSE,2.65
CST4,CST4,0.7432432432432432
FGB,FGB,1.4615384615384615
RPL37A,RPL37A,0.3888888888888889
RPS19,RPS19,0.7285714285714285
HPN,HPN,1.263157894736842
EEF1A1,EEF1A1,0.8095238095238095
COL5A2,COL5A2,0.17567567567567569
RPL35,RPL35,0.3208955223880597
RPS11,RPS11,0.64
WASF2,WASF2,0.85
SFRP2,SFRP2,0.18571428571428572
CERS2,CERS2,0.6666666666666666
CD63,CD63,1.2666666666666666
FXYD3,FXYD3,0.4315068493150685
NBL1,NBL1,0.6935483870967742
TAGLN2,TAGLN2,0.7065217391304348
ENSA,ENSA,0.671875
RPS10,RPS10,0.7361111111111112
ALDOA,ALDOA,0.7361111111111112
MMP14,MMP14,0.36666666666666664
ITGB1,ITGB1,1.1
THBS2,THBS2,0.27419354838709675
RPS9,RPS9,0.6375
METRN,METRN,0.37222222222222223
RPS27,RPS27,0.4857142857142857
RPN2,RPN2,0.49411764705882355
GUK1,GUK1,1.3611111111111112
FAU,FAU,0.3356164383561644
ATP6AP1,ATP6AP1,1.075
RBM39,RBM39,0.5689655172413793
APOE,APOE,1.9583333333333333
RPL18A,RPL18A,1.4642857142857142
RPS15A,RPS15A,1.0833333333333333
RPL27A,RPL27A,0.32432432432432434
COL5A1,COL5A1,0.7
HTRA1,HTRA1,2.357142857142857
SOD2,SOD2,1.0
SCD,SCD,0.4027777777777778
RPLP2,RPLP2,0.1853932584269663
ECM1,ECM1,2.5384615384615383
UQCR11,UQCR11,1.4736842105263157
RPS8,RPS8,1.5576923076923077
RPLP1,RPLP1,0.6228070175438597
MGP,MGP,0.4897959183673469
GPX4,GPX4,1.0172413793103448
RPSA,RPSA,1.625
EIF5AL1,EIF5AL1,1.7727272727272727
CTHRC1,CTHRC1,0.4074074074074074
CFL1,CFL1,0.6923076923076923
TUBA1B,TUBA1B,0.6710526315789473
CPE,CPE,1.3888888888888888
TMSB4X,TMSB4X,0.33076923076923076
PRRC2A,PRRC2A,1.625
HLA-B,HLA-B,0.26515151515151514
FTL,FTL,0.4090909090909091
PSAP,PSAP,0.3194444444444444
LMNA,LMNA,1.9230769230769231
RAB1B,RAB1B,2.1363636363636362
XBP1,XBP1,0.6527777777777778
RPL32,RPL32,1.6818181818181819
IFI6,IFI6,0.26666666666666666
HSP90AA1,HSP90AA1,0.1827956989247312
RPL10,RPL10,0.6666666666666666
CLDN3,CLDN3,2.066666666666667
TMSB10,TMSB10,0.6704545454545454
RPLP0,RPLP0,0.32857142857142857
RPL41,RPL41,0.22972972972972974
MIF,MIF,0.9137931034482759
IGFBP7,IGFBP7,1.5
SCAND1,SCAND1,1.3194444444444444
RPL30,RPL30,0.24725274725274726
STARD10,STARD10,1.1136363636363635
HLA-DRA,HLA-DRA,0.4787234042553192
LRP1,LRP1,1.0
COL6A3,COL6A3,0.2717391304347826
GRINA,GRINA,0.30337078651685395
AP2M1,AP2M1,2.0
ISG15,ISG15,1.8333333333333333
RPL21,RPL21,0.9117647058823529
MRPL24,MRPL24,1.5416666666666667
DST,DST,1.625
SELM,SELM,1.96875
LDHA,LDHA,0.8108108108108109
LDHB,LDHB,1.736842105263158
SLC9A3R1,SLC9A3R1,1.40625
RPL34,RPL34,2.09375
CD81,CD81,0.3791208791208791
RPL39,RPL39,1.8636363636363635
DHCR24,DHCR24,2.05
COL6A2,COL6A2,0.4230769230769231
TXNIP,TXNIP,1.7941176470588236
SSR4,SSR4,1.3269230769230769
APOD,APOD,1.7307692307692308
RPL11,RPL11,0.6875
PSMD8,PSMD8,0.31343283582089554
CNN2,CNN2,0.5909090909090909
PAK4,PAK4,0.7592592592592593
RPL3,RPL3,0.41346153846153844
C4B,C4B,0.4583333333333333
RPS23,RPS23,1.7105263157894737
SERPINA3,SERPINA3,0.9242424242424242
GNB2L1,GNB2L1,0.75
GRAMD1A,GRAMD1A,2.9444444444444446
COX5B,COX5B,2.05
EGR1,EGR1,1.7647058823529411
RPS17,RPS17,1.2826086956521738
MAL2,MAL2,1.075
TRAM1,TRAM1,0.6170212765957447
CXCL14,CXCL14,1.7857142857142858
ERGIC3,ERGIC3,1.2941176470588236
SH3BGRL,SH3BGRL,1.4375
AES,AES,2.55
CST3,CST3,1.5
LAPTM5,LAPTM5,1.6904761904761905
ZFP36L1,ZFP36L1,1.3571428571428572
MGST1,MGST1,1.1666666666666667
RPS27A,RPS27A,0.8676470588235294
COX6C,COX6C,0.4540229885057471
CD74,CD74,1.2619047619047619
RPS15,RPS15,0.5178571428571429
VCAN,VCAN,0.46
SERF2,SERF2,0.7631578947368421
MALAT1,MALAT1,0.275
SSR2,SSR2,2.3214285714285716
CISD3,CISD3,0.7121212121212122
RPL23A,RPL23A,2.2083333333333335
RPS2,RPS2,0.8048780487804879
RPL15,RPL15,0.35964912280701755
PFN1,PFN1,1.32
C4A,C4A,0.6224489795918368
MRPS12,MRPS12,2.9545454545454546
FASN,FASN,1.2826086956521738
ANTXR1,ANTXR1,1.1
CLDN7,CLDN7,1.5714285714285714
PRDX2,PRDX2,1.4375
RPL7A,RPL7A,1.0689655172413792
RPL12,RPL12,1.25
SPINT2,SPINT2,0.5833333333333334
TP53INP2,TP53INP2,1.3125
ACTN1,ACTN1,0.265625
RPL23,RPL23,0.32432432432432434
ANXA2,ANXA2,0.46
VIM,VIM,0.3333333333333333
NDUFB7,NDUFB7,2.090909090909091
RPL9,RPL9,2.3333333333333335
FLNA,FLNA,2.25
EIF5A,EIF5A,2.9615384615384617
MYH9,MYH9,0.5909090909090909
RPL5,RPL5,1.3666666666666667
PMEPA1,PMEPA1,1.1
RPS7,RPS7,1.5
C3,C3,2.5384615384615383
ACTG1,ACTG1,0.868421052631579
CD24,CD24,0.4864864864864865
ATP1A1,ATP1A1,1.0238095238095237
SIVA1,SIVA1,1.7692307692307692
NDUFB9,NDUFB9,2.2857142857142856
MYL9,MYL9,0.41935483870967744
GNAS,GNAS,0.5212765957446809
SDC1,SDC1,0.8333333333333334
HLA-C,HLA-C,0.6428571428571429
CALR,CALR,0.7058823529411765
LGALS1,LGALS1,0.5
RPS6,RPS6,1.25
SLC38A2,SLC38A2,0.8333333333333334
ACTB,ACTB,0.9516129032258065
TIMP3,TIMP3,1.2142857142857142
ERBB2,ERBB2,0.37755102040816324
DCN,DCN,0.35714285714285715
SYAP1,SYAP1,1.3421052631578947
NDUFA4,NDUFA4,2.9615384615384617
EIF4G1,EIF4G1,1.5416666666666667
HLA-A,HLA-A,2.5384615384615383
NDUFA13,NDUFA13,2.25
CD9,CD9,1.2647058823529411
RPL13A,RPL13A,0.6162790697674418
H2AFJ,H2AFJ,2.03125
PSMD3,PSMD3,0.525
RPS12,RPS12,1.5833333333333333
