geneID,TSNE1,TSNE2,cluster
COL3A1,-8.835325,-0.44432855,0
COL1A2,-8.833022,-0.2682108,0
FN1,-7.9991784,-0.26500604,0
COL12A1,-9.212418,-0.72405165,0
LUM,-8.477198,-0.39800546,0
COL1A1,-8.9797945,-0.50415844,0
STARD10,-0.6406783,-0.24987435,2
POSTN,-8.103696,-0.24268042,0
RPS5,2.0060012,1.2449347,2
ROMO1,2.1015818,-0.7187008,2
RPS9,3.3362224,0.85467523,2
RPL36,1.9958299,3.103593,2
RPL18A,1.7705629,0.1760097,2
SFRP2,-8.360556,-0.9858937,0
IGFBP5,-2.7969835,-6.224485,1
RPL3,3.3369892,2.2381263,2
TGM2,-6.212667,-0.39243442,0
B2M,-7.171018,-1.2697177,0
SCAND1,1.4306297,-0.41212073,2
VCAN,-8.393992,0.6432195,0
RPS14,1.3038504,0.21136951,2
SPARC,-8.7484665,-1.077589,0
HTRA1,-6.9377193,0.69510806,0
RPS11,-1.2787607,2.3416312,2
SAT1,-5.0075917,0.26561224,0
RPL29,3.3354876,0.6110481,2
RPS18,1.2069159,1.4963508,2
MGP,-3.7029033,-6.294578,1
LOX,-9.56717,0.8546962,0
XBP1,-2.0557625,-5.084604,1
SSR4,0.22453739,1.139381,2
SERPINA3,-1.4464985,2.3854938,2
GRINA,4.204461,2.8559694,2
PRRX1,-8.772236,-1.5849441,0
RPL35,1.8626335,2.2233849,2
PALLD,-9.712584,-0.028836425,0
COX6B1,2.1661685,0.91394687,2
IGFBP7,-3.698474,1.3917239,0
UBA52,4.157353,0.2940302,2
FXYD3,-0.8363432,-5.2783523,1
CTSD,0.4129636,2.057062,2
PRSS23,-2.6004066,-5.435777,1
COL6A3,-7.681302,0.2667487,0
RPL37A,1.0420738,4.3179555,2
LDHA,-4.1240706,-6.087206,1
TNC,-8.026979,1.6927412,0
RPS19,-0.14541577,2.090939,2
RPLP2,1.3971386,2.3363626,2
RPL13,3.0670743,2.8580885,2
TMSB4X,-6.8300233,-1.4328134,0
ADIRF,-0.70073545,-0.34598482,2
PPP1R1B,0.5453913,-1.3656844,2
EEF2,4.0317316,1.7214713,2
RPL27A,2.4434633,2.8163989,2
BGN,-5.335938,2.7454314,0
MCL1,1.2063044,-4.2514315,1
ANXA2,-10.534828,0.67580736,0
ZNF90,1.3449736,-4.125645,1
VIM,-6.2290764,1.5792218,0
HLA-C,-5.2397065,-1.8301072,0
HLA-B,-5.388577,-1.7592092,0
RPS15A,0.21664503,5.528334,2
COL5A1,-10.084779,-1.9164819,0
EEF1A1,-8.94086,2.3755236,0
CST3,-2.9472024,1.5016465,2
RPS27,2.5734468,3.536112,2
TIMP3,-8.943491,-2.9037435,0
RPL28,1.0607725,1.462663,2
IFI6,-0.3388192,-2.7032552,1
RPLP1,0.8293618,3.9573767,2
C4B,-1.4523497,3.9768248,2
SULF1,-8.77447,0.8684154,0
FTL,-6.1682296,0.48552176,0
RPLP0,1.677735,3.7670805,2
RPL30,4.9178977,0.76453465,2
C4A,-1.4817525,3.9948823,2
MIEN1,-1.7603922,-3.5129907,1
GNAS,-3.3177173,-4.925145,1
RBM39,-4.872175,-5.0483475,1
GNB2L1,2.3167634,5.115274,2
RPL10A,3.3023643,4.1460814,2
RPL10,0.8303593,2.5029063,2
RPS2,4.717591,3.0454814,2
LGALS3,-7.1922946,-0.3226641,0
LMNA,0.3556698,0.33717647,2
TP53INP2,-2.5874588,-4.132739,1
RPN2,-2.579182,-4.851961,1
RPL41,2.0815234,2.0738509,2
ATP5E,-3.928134,-3.380051,1
DCN,-6.51788,1.6403489,0
RPL21,1.4198622,5.5983696,2
CD24,-2.783338,-4.895122,1
COL10A1,-9.054318,-2.13276,0
HLA-DRA,-6.5082235,-0.97158563,0
ALDOA,2.3015325,-1.9423604,2
PLD3,0.18512994,-0.11579227,2
AEBP1,-5.542554,2.3036344,0
CERS2,-1.8243463,-4.524052,1
RPL8,3.0674427,-0.74639666,2
EIF4G2,-10.665327,-0.62839085,0
HSP90AA1,-4.1543856,-4.6974435,1
LY6E,2.2461898,-2.1778564,2
SPINT2,-1.7391797,-5.067966,1
CD9,-2.0304441,-5.822469,1
YWHAZ,-3.451542,-4.019444,1
RPL13A,3.5998626,3.1285188,2
RPL11,1.4306768,5.635395,2
THBS2,-10.132018,-1.2208965,0
RPS20,-4.567463,-0.3204877,0
COX6C,-1.0375766,-4.626853,1
TPT1,-7.434661,-2.1754932,0
RPS10,0.39665538,4.212714,2
RPS15,5.0165677,1.889154,2
TMEM123,-6.0399413,-3.5107915,0
GRN,-3.3741305,2.8522582,2
BZW1,-7.9854736,2.6709015,0
RPL19,0.15988037,-2.2582636,1
GAPDH,3.097895,1.712215,2
